protein1	protein2	cost
ACP5	TNFSF10	0.452941
ACP5	UBC	0.598835
ACP5	MAPK9	0.594442
ACP5	PPP2CB	0.492989
ACP5	PDCD5	0.452941
SLC27A2	SDHA	0.47326
SLC27A2	YWHAQ	0.561127
SLC27A2	PEX5	0.690083
SLC27A2	YWHAZ	0.598835
SLC27A2	CALR	0.654948
SLC27A2	UBC	0.221602
SLC27A2	NCSTN	0.654948
SLC27A2	PEX14	0.654948
SLC27A2	ABCD1	0.529593
PAX9	KDM5B	0.238494
PAX9	TLE1	0.594442
PAX9	SSX4B	0.594442
PAX9	MSX1	0.477251
PAX9	TRIP4	0.594442
PAX9	GTF2A1L	0.594442
PAX9	ZNF440	0.594442
PAX9	ZNF580	0.594442
PAX9	NR0B2	0.594442
PAX9	FUBP3	0.594442
PAX9	TLE2	0.594442
ADAM15	MAD2L2	0.427993
ADAM15	SRC	0.224839
ADAM15	SNX9	0.253385
ADAM15	ARHGEF6	0.45648
ADAM15	PTK6	0.598835
ADAM15	SH3GL2	0.340643
ADAM15	HCK	0.316528
ADAM15	SORBS2	0.561127
ADAM15	YES1	0.45648
ADAM15	SH3GLB1	0.561127
ADAM15	LYN	0.561127
ADAM15	MAPK1	0.598835
ADAM15	BANP	0.443583
ADAM15	SNX30	0.561127
ADAM15	MAPK3	0.598835
ADAM15	ARHGEF7	0.561127
ADAM15	SH3RF1	0.598835
ADAM15	ABL1	0.598835
ADAM15	NUP62	0.392016
ADAM15	FHL3	0.392016
ADAM15	SH3RF3	0.45648
ADAM15	SPAG5	0.63215
ADAM15	FBXO6	0.598835
ADAM15	GRB2	0.243823
ADAM15	SORBS1	0.598835
ADAM15	TIMP3	0.598835
ADAM15	SH3PXD2A	0.391484
ADAM15	SORBS3	0.85922
ADAM15	SNX33	0.475767
ADAM15	TRIP13	0.594442
ADAM15	PACSIN3	0.302199
ADAM15	MAD2L1	0.598835
ADAM15	LCK	0.323872
ADAM15	UBC	0.165007
ADAM15	SP4	0.392016
ADAM15	FYN	0.376967
ADAM15	SH3D19	0.85922
ADAM15	RBPMS	0.443583
ADAM15	NCK1	0.332937
ADAM15	NPHP1	0.475767
ELOVL2	CERS2	0.598835
DDX60L	UBC	0.298244
FGF7	FGFR3	0.598835
FGF7	UBQLN1	0.536542
FGF7	DESI1	0.594442
FGF7	COL6A1	0.85922
FGF7	FGFR2	0.198617
FGF7	COL2A1	0.85922
FGF7	NRP1	0.85922
FGF7	HSPG2	0.309386
FGF7	FGFR4	0.85922
FGF7	COL1A1	0.85922
FGF7	FGFR1	0.85922
FGF7	COL3A1	0.85922
CDHR5	MYO7B	0.598835
CDHR5	CDHR2	0.391211
CDHR5	USH1C	0.475767
LYPD3	BAG4	0.63215
LYPD3	PPM1D	0.63215
LYPD3	RB1CC1	0.63215
LYPD3	CHEK2	0.63215
LYPD3	LSP1	0.63215
LYPD3	AGR3	0.465382
LYPD3	ERBB2	0.63215
LYPD3	BRMS1	0.63215
LYPD3	IGF1R	0.63215
LYPD3	CTRB1	0.85922
LYPD3	STK11	0.63215
LYPD3	SMAD4	0.63215
LYPD3	PTPRJ	0.63215
LYPD3	AURKA	0.63215
LYPD3	PALB2	0.63215
LYPD3	CASP8	0.63215
LYPD3	AGR2	0.594442
ABCF1	FRYL	0.654948
ABCF1	PSMC5	0.654948
ABCF1	MMS19	0.598835
ABCF1	RFC4	0.654948
ABCF1	OBSL1	0.598835
ABCF1	C14ORF166	0.654948
ABCF1	DYNC1I2	0.654948
ABCF1	EIF2B2	0.654948
ABCF1	TBL1XR1	0.654948
ABCF1	LYAR	0.598835
ABCF1	HNRNPA2B1	0.654948
ABCF1	IGF2BP3	0.654948
ABCF1	ITGB3BP	0.63215
ABCF1	EIF6	0.530378
ABCF1	ILF2	0.654948
ABCF1	MAP2	0.654948
ABCF1	APP	0.561127
ABCF1	NELFB	0.654948
ABCF1	HNRNPU	0.654948
ABCF1	EDC4	0.654948
ABCF1	PSMC6	0.654948
ABCF1	PTBP1	0.654948
ABCF1	RTCB	0.654948
ABCF1	NMT1	0.654948
ABCF1	CCDC8	0.598835
ABCF1	COPS5	0.598835
ABCF1	EED	0.598835
ABCF1	FKBP3	0.654948
ABCF1	HNRNPM	0.654948
ABCF1	RPL27A	0.654948
ABCF1	PINX1	0.598835
ABCF1	HNRNPA0	0.654948
ABCF1	CUL2	0.598835
ABCF1	MRE11A	0.654948
ABCF1	PSMD7	0.654948
ABCF1	RNF2	0.598835
ABCF1	SUMO2	0.598835
ABCF1	PSMD8	0.654948
ABCF1	PRKAB1	0.598835
ABCF1	FMNL1	0.598835
ABCF1	DIMT1	0.654948
ABCF1	UBC	0.120851
ABCF1	EIF2B3	0.654948
ABCF1	DHX9	0.654948
ABCF1	HDGF	0.598835
ABCF1	FN1	0.598835
ABCF1	SIRT7	0.598835
ABCF1	DDX1	0.654948
ABCF1	SRPK1	0.561127
ABCF1	YBX3	0.654948
ABCF1	GRK5	0.598835
ABCF1	PSMD13	0.654948
IL23R	C1D	0.392016
IL23R	IL23A	0.538056
IL23R	STAT3	0.830932
IL23R	IL12RB1	0.598835
IL23R	JAK2	0.830932
SPINT1	ST14	0.598835
SPINT1	FAM46A	0.594442
SPINT1	UBQLN4	0.492989
SPINT1	HGFAC	0.376967
SPINT1	UBC	0.598835
PAX4	GMCL1	0.443583
FBXL12	HSP90AB1	0.598835
FBXL12	MAST1	0.492989
FBXL12	PRAME	0.598835
FBXL12	PSEN2	0.594442
FBXL12	HSP90AA1	0.598835
FBXL12	PSEN1	0.594442
FBXL12	STYX	0.598835
FBXL12	RNF32	0.409599
FBXL12	DOCK8	0.443583
FBXL12	FXYD3	0.594442
FBXL12	JUN	0.598835
FBXL12	APOE	0.594442
FBXL12	COPS6	0.598835
FBXL12	CUL1	0.298244
FBXL12	SKP1	0.410771
FBXL12	SMAD1	0.85922
FBXL12	UBC	0.298244
FBXL12	CDC37	0.492989
FBXL12	RBX1	0.598835
FBXL12	A2M	0.594442
FBXL12	ECSIT	0.458237
FBXL12	LNX1	0.392016
FBXL12	CDKN1C	0.475767
FBXL12	TGFBR1	0.85922
CDK9	MED21	0.765937
CDK9	TRIP12	0.598835
CDK9	GATA6	0.598835
CDK9	CASK	0.492989
CDK9	HSP90AB1	0.298244
CDK9	AIP	0.598835
CDK9	CCAR2	0.436465
CDK9	HNRNPK	0.598835
CDK9	RFC4	0.598835
CDK9	ANXA2	0.654948
CDK9	SYNCRIP	0.598835
CDK9	HEXIM1	0.0232573
CDK9	RAD21	0.598835
CDK9	ZMYM6	0.698583
CDK9	NR2E3	0.314653
CDK9	HIST2H2BE	0.475111
CDK9	RPS4X	0.598835
CDK9	PPM1A	0.553181
CDK9	CKAP5	0.598835
CDK9	SKP2	0.50668
CDK9	CCNK	0.381203
CDK9	MDM2	0.598835
CDK9	TUBB4B	0.598835
CDK9	PAF1	0.436465
CDK9	OXSR1	0.654948
CDK9	NFKB1	0.830932
CDK9	HSP90AA1	0.298244
CDK9	AFF4	0.0718892
CDK9	CCNT2	0.0565894
CDK9	TRIM33	0.598835
CDK9	HSPD1	0.598835
CDK9	KPNA2	0.598835
CDK9	HNRNPA2B1	0.598835
CDK9	AR	0.45648
CDK9	PIN1	0.830932
CDK9	CCNT1	0.0063054
CDK9	DHX30	0.331584
CDK9	SQSTM1	0.654948
CDK9	CTDSPL	0.636998
CDK9	TP53	0.85922
CDK9	UBE2A	0.45648
CDK9	SERPINH1	0.85922
CDK9	RNF20	0.654948
CDK9	SMAD2	0.561127
CDK9	MSL1	0.654948
CDK9	MRPS27	0.598835
CDK9	SETD1B	0.654948
CDK9	UBR5	0.429349
CDK9	CCT8	0.410771
CDK9	ILF2	0.598835
CDK9	RUVBL2	0.598835
CDK9	HEXIM2	0.212898
CDK9	TAF7	0.561127
CDK9	TAL1	0.598835
CDK9	PAXIP1	0.598835
CDK9	UBL4A	0.598835
CDK9	HSPA5	0.598835
CDK9	HLTF	0.492989
CDK9	HNRNPU	0.598835
CDK9	HNRNPA1	0.598835
CDK9	PPP1CC	0.719962
CDK9	ATP1A1	0.598835
CDK9	BRDT	0.598835
CDK9	HSPA2	0.598835
CDK9	NBN	0.719821
CDK9	PMS1	0.598835
CDK9	HNRNPR	0.598835
CDK9	STAT3	0.45648
CDK9	MED12	0.598835
CDK9	CLSPN	0.475767
CDK9	SNW1	0.598835
CDK9	ELL	0.598835
CDK9	HSPA1B	0.571676
CDK9	ELL2	0.298244
CDK9	BARD1	0.598835
CDK9	IL6ST	0.538056
CDK9	PLEC	0.654948
CDK9	CDK12	0.410771
CDK9	SKIV2L	0.598835
CDK9	TRIM28	0.598835
CDK9	BRCA1	0.594442
CDK9	FBXO25	0.561127
CDK9	SMC4	0.654948
CDK9	ATR	0.475767
CDK9	RELA	0.45648
CDK9	RQCD1	0.598835
CDK9	SUPT5H	0.102254
CDK9	MSL2	0.654948
CDK9	MLLT3	0.120851
CDK9	AFF3	0.410771
CDK9	ZC3H13	0.598835
CDK9	EXOSC5	0.598835
CDK9	FKBP5	0.194233
CDK9	MDFIC	0.45648
CDK9	TCEA1	0.429349
CDK9	CUL1	0.402371
CDK9	GRN	0.598835
CDK9	SMC2	0.654948
CDK9	CCT3	0.598835
CDK9	SART3	0.598835
CDK9	AFF1	0.120851
CDK9	MSH2	0.598835
CDK9	IMMT	0.654948
CDK9	JMJD6	0.45648
CDK9	CDK7	0.286526
CDK9	TERF2	0.598835
CDK9	SKP1	0.45648
CDK9	SMAD1	0.561127
CDK9	HNRNPA0	0.598835
CDK9	POLR2A	0.0331982
CDK9	RMND5B	0.492989
CDK9	ATRIP	0.598835
CDK9	TERF1	0.598835
CDK9	SUPT16H	0.598835
CDK9	MARS	0.598835
CDK9	RCHY1	0.388868
CDK9	CDC73	0.598835
CDK9	FGFR4	0.598835
CDK9	LARP7	0.106415
CDK9	RNF40	0.654948
CDK9	MLLT1	0.0739219
CDK9	CCDC87	0.598835
CDK9	GTF2F1	0.410116
CDK9	IGF2BP1	0.598835
CDK9	P4HA1	0.598835
CDK9	KMT2A	0.298244
CDK9	SUMO2	0.598835
CDK9	LANCL2	0.654948
CDK9	RB1	0.162462
CDK9	IGF2BP2	0.598835
CDK9	RPN1	0.598835
CDK9	DDX5	0.598835
CDK9	TRAP1	0.598835
CDK9	MYBL2	0.379173
CDK9	SMAD3	0.561127
CDK9	UBC	0.0511203
CDK9	CDC37	0.298244
CDK9	RBM39	0.598835
CDK9	RUVBL1	0.598835
CDK9	CCT5	0.598835
CDK9	UBE2S	0.654948
CDK9	BRD4	0.0500286
CDK9	ARID3B	0.598835
CDK9	RBBP7	0.598835
CDK9	MATR3	0.598835
CDK9	HNRNPD	0.598835
CDK9	CDK8	0.598835
CDK9	ACTL6A	0.561127
CDK9	CSNK2B	0.598835
CDK9	YBX1	0.598835
CDK9	SRCAP	0.654948
CDK9	GSS	0.654948
CDK9	CDC34	0.449051
CDK9	PSMD2	0.598835
CDK9	MED1	0.598835
CDK9	PPM1B	0.832846
CDK9	MEPCE	0.221602
CDK9	MED26	0.598835
CDK9	CDC7	0.492989
CDK9	EAF1	0.598835
CDK9	MYC	0.214171
CDK9	FGFR1	0.598835
CDK9	ATM	0.73224
CDK9	MBP	0.376967
CDK9	MED28	0.598835
CDK9	PCBP2	0.598835
CDK9	HNRNPH1	0.598835
CDK9	TRAF2	0.533732
CDK9	CTDP1	0.270413
CDK9	PGC	0.598835
CDK9	DTYMK	0.598835
CDK9	HSPA6	0.598835
CDK9	CDK15	0.598835
CDK9	STK36	0.85922
CDK9	HTATSF1	0.830932
CDK9	CCT4	0.598835
CDK9	STIP1	0.598835
CDK9	NUFIP1	0.598835
CDK9	CCNH	0.654948
CDK9	SEC31A	0.654948
CDK9	CDK5R1	0.520073
CDK9	BCL10	0.492989
RPL35	ADH4	0.594442
RPL35	VHL	0.598835
RPL35	AGO4	0.598835
RPL35	PARP1	0.598835
RPL35	RPS11	0.654948
RPL35	TXNDC16	0.598835
RPL35	CAND1	0.598835
RPL35	TARDBP	0.598835
RPL35	CDC42BPB	0.598835
RPL35	CUL3	0.598835
RPL35	RPS19	0.654948
RPL35	VCAM1	0.598835
RPL35	TUBB2B	0.492989
RPL35	LYAR	0.598835
RPL35	PRKAA1	0.598835
RPL35	CUL4B	0.598835
RPL35	RPL10L	0.654948
RPL35	ARRB2	0.598835
RPL35	ACTN2	0.492989
RPL35	CDKN1A	0.594442
RPL35	EIF3CL	0.654948
RPL35	RPL11	0.654948
RPL35	RPL7A	0.654948
RPL35	RPL38	0.654948
RPL35	RPL31	0.654948
RPL35	CUL5	0.598835
RPL35	RPL23A	0.47326
RPL35	TAF9	0.598835
RPL35	IGSF8	0.598835
RPL35	RPS3A	0.654948
RPL35	RPL14	0.654948
RPL35	HNRNPU	0.654948
RPL35	CD81	0.598835
RPL35	ITGA4	0.598835
RPL35	RPS8	0.654948
RPL35	EIF1B	0.598835
RPL35	PAN2	0.598835
RPL35	CDK2	0.598835
RPL35	RPL30	0.654948
RPL35	RPL7	0.654948
RPL35	RPS20	0.654948
RPL35	COPS5	0.598835
RPL35	PSTPIP1	0.475767
RPL35	CUL1	0.598835
RPL35	YWHAZ	0.598835
RPL35	SGSM3	0.492989
RPL35	MAP3K1	0.598835
RPL35	RPS27	0.654948
RPL35	RPL27A	0.654948
RPL35	PINX1	0.598835
RPL35	RPS7	0.654948
RPL35	CEP250	0.598835
RPL35	LAMC3	0.492989
RPL35	ICAM1	0.598835
RPL35	NEDD8	0.598835
RPL35	RPSA	0.654948
RPL35	CBFB	0.598835
RPL35	RPS12	0.654948
RPL35	G3BP1	0.654948
RPL35	MAGEB2	0.598835
RPL35	CUL7	0.598835
RPL35	PRPSAP1	0.654948
RPL35	UBC	0.0523169
RPL35	EIF3D	0.654948
RPL35	SND1	0.654948
RPL35	RPL36	0.654948
RPL35	RPL6	0.654948
RPL35	HDGF	0.598835
RPL35	FN1	0.598835
RPL35	RPL26	0.654948
RPL35	MAP3K14	0.598835
RPL35	RPS24	0.654948
RPL35	MAX	0.561127
RPL35	TRAF6	0.598835
RPL35	RPL17-C18ORF32	0.654948
RPL35	RPL18	0.654948
RPL35	CNBP	0.598835
PRAF2	CCR5	0.438905
PRAF2	ARL6IP5	0.526435
PRAF2	RHOB	0.63215
PRAF2	CANX	0.73224
PRAF2	PLIN3	0.73224
PRAF2	UBC	0.410771
CDK17	MMS19	0.598835
CDK17	TDRD7	0.457009
CDK17	BAG3	0.598835
CDK17	APP	0.561127
CDK17	YWHAQ	0.561127
CDK17	PTMA	0.598835
CDK17	PRKACG	0.492989
CDK17	YWHAG	0.344359
CDK17	YWHAB	0.598835
CDK17	GAPDH	0.598835
CDK17	YWHAZ	0.598835
CDK17	TUBGCP3	0.598835
CDK17	EPHA2	0.492989
CDK17	NOP10	0.598835
CDK17	UBC	0.298244
CDK17	PPP2R2A	0.598835
CDK17	PPP2CB	0.598835
CDK17	TGFBR1	0.85922
DKFZP547P1613	SUMO2	0.63215
CSAG1	APP	0.561127
CSAG1	SRPK2	0.561127
CSAG1	SRPK1	0.561127
CYP2C8	MAST1	0.594442
CYP2C8	DNAJB1	0.594442
CYP2C8	PSEN1	0.594442
CYP2C8	RNF32	0.594442
CYP2C8	APOE	0.594442
CYP2C8	PGRMC1	0.598835
CYP2C8	LONP1	0.594442
CYP2C8	BLMH	0.594442
CYP2C8	EXOC6	0.594442
CYP2C8	A2M	0.594442
CYP2C8	ECSIT	0.594442
CYP2C8	IFIT3	0.594442
SFRS2	LZTS2	0.443583
SFRS2	KRT31	0.443583
SFRS2	TCF4	0.443583
SFRS2	TRIM27	0.443583
SFRS2	GOLGA2	0.443583
SFRS2	CEP72	0.443583
SFRS2	KRT40	0.443583
CDK13	C1QBP	0.39849
CDK13	MAPK14	0.654948
CDK13	CDK4	0.598835
CDK13	HSP90AA1	0.598835
CDK13	ARRB2	0.598835
CDK13	NSUN5	0.654948
CDK13	CDK2	0.598835
CDK13	PRPF40A	0.594442
CDK13	BARD1	0.598835
CDK13	CDK12	0.654948
CDK13	SRPK2	0.598835
CDK13	FKBP5	0.598835
CDK13	TERF2	0.598835
CDK13	TERF1	0.598835
CDK13	RNF2	0.598835
CDK13	CHMP4A	0.594442
CDK13	PRPF3	0.654948
CDK13	UBC	0.298244
CDK13	ALK	0.598835
CDK13	CDC37	0.598835
CDK13	MTA3	0.654948
CKS2	CKS1B	0.85922
CKS2	CCNA1	0.561127
CKS2	HSP90AA1	0.561127
CKS2	LDHB	0.561127
CKS2	CCNB2	0.561127
CKS2	CDKN1A	0.598835
CKS2	CDK2	0.391484
CKS2	GRB2	0.594442
CKS2	UNC119	0.492989
CKS2	BLZF1	0.63215
CKS2	SSBP1	0.561127
CKS2	VTN	0.492989
CKS2	SUMO3	0.598835
CKS2	CCNB1	0.391484
CKS2	UBC	0.120851
CKS2	CDC37	0.561127
CKS2	CCNA2	0.391484
CKS2	CDK1	0.286822
CKS2	EEF1A1	0.452941
CKS2	TSC22D4	0.452941
NTHL1	ZC3HAV1	0.654948
NTHL1	MMS19	0.598835
NTHL1	TP53	0.85922
NTHL1	RBL1	0.598835
NTHL1	RPA2	0.598835
NTHL1	ERCC5	0.549451
NTHL1	FAM96B	0.598835
NTHL1	MYH7	0.475767
NTHL1	RPA3	0.598835
NTHL1	RPA1	0.598835
NTHL1	NUDT1	0.598835
NTHL1	UBC	0.410771
NTHL1	RNMTL1	0.475767
NTHL1	HECW2	0.598835
NTHL1	MYH4	0.598835
NTHL1	GAPDHS	0.475767
SLC25A6	LZTS2	0.392016
SLC25A6	PLSCR1	0.492989
SLC25A6	NDRG1	0.475767
SLC25A6	SIRT4	0.598835
SLC25A6	CAND1	0.598835
SLC25A6	CLN5	0.598835
SLC25A6	INPPL1	0.598835
SLC25A6	NDUFB8	0.654948
SLC25A6	KRT31	0.392016
SLC25A6	FGFR3	0.594442
SLC25A6	CUL3	0.598835
SLC25A6	NOTCH2NL	0.392016
SLC25A6	STRN4	0.565996
SLC25A6	CHEK2	0.63215
SLC25A6	MDM2	0.598835
SLC25A6	ZBTB1	0.598835
SLC25A6	TRADD	0.598835
SLC25A6	UQCRC1	0.654948
SLC25A6	CUTC	0.63215
SLC25A6	TMEM62	0.63215
SLC25A6	RPL10L	0.654948
SLC25A6	ASB8	0.598835
SLC25A6	RPL7A	0.654948
SLC25A6	SMAD2	0.598835
SLC25A6	CHD3	0.63215
SLC25A6	H2AFX	0.598835
SLC25A6	UBD	0.598835
SLC25A6	IKBKG	0.598835
SLC25A6	CHGB	0.452941
SLC25A6	HUWE1	0.598835
SLC25A6	TEKT4	0.392016
SLC25A6	UBL4A	0.598835
SLC25A6	YWHAE	0.598835
SLC25A6	VIM	0.452941
SLC25A6	TNFRSF1B	0.598835
SLC25A6	ASB14	0.598835
SLC25A6	TIMM13	0.654948
SLC25A6	NNT	0.654948
SLC25A6	TNFRSF10C	0.63215
SLC25A6	TRIP6	0.392016
SLC25A6	FBXO6	0.598835
SLC25A6	CCDC8	0.598835
SLC25A6	COPS5	0.598835
SLC25A6	RELA	0.598835
SLC25A6	GRB2	0.598835
SLC25A6	ASB18	0.598835
SLC25A6	TRAF1	0.443583
SLC25A6	CUL1	0.598835
SLC25A6	FAM96B	0.598835
SLC25A6	MGMT	0.598835
SLC25A6	MTUS2	0.334452
SLC25A6	TIMM10	0.654948
SLC25A6	MAP3K1	0.598835
SLC25A6	TNFRSF1A	0.598835
SLC25A6	RPL10	0.654948
SLC25A6	NDUFV3	0.654948
SLC25A6	TIMM9	0.654948
SLC25A6	CLN3	0.598835
SLC25A6	GNB2L1	0.63215
SLC25A6	KARS	0.452941
SLC25A6	SUMO2	0.410771
SLC25A6	ADRB2	0.598835
SLC25A6	VDAC1	0.598835
SLC25A6	ICT1	0.598835
SLC25A6	PRSS23	0.565996
SLC25A6	UBC	0.0474791
SLC25A6	SMURF2	0.598835
SLC25A6	MAP3K3	0.598835
SLC25A6	LRRK2	0.598835
SLC25A6	LMNA	0.654948
SLC25A6	AP2B1	0.443583
SLC25A6	KRTAP4-12	0.452941
SLC25A6	HDAC5	0.598835
SLC25A6	VAMP2	0.654948
SLC25A6	RPL10A	0.654948
SLC25A6	HECW2	0.598835
SLC25A6	MID2	0.443583
SLC25A6	MAX	0.598835
SLC25A6	TRIM23	0.392016
SLC25A6	TIMM50	0.654948
SLC25A6	CUL4A	0.598835
ADAMTSL5	NOTCH2NL	0.443583
ADAMTSL5	FBN2	0.475767
ADAMTSL5	ADAMTSL4	0.443583
ADAMTSL5	KRTAP10-3	0.594442
ADAMTSL5	FBN1	0.475767
MBD4	KDM1A	0.492989
MBD4	CDCA2	0.492989
MBD4	USP7	0.598835
MBD4	HDAC1	0.398358
MBD4	MLH1	0.275444
MBD4	SUV39H1	0.492989
MBD4	SUMO2	0.598835
MBD4	TRIM27	0.342428
MBD4	FAS	0.594442
MBD4	UBC	0.410771
MBD4	CSNK2B	0.445567
MBD4	DNMT3B	0.561127
MBD4	UHRF1	0.45648
MBD4	HTT	0.418665
MBD4	FADD	0.327812
MBD4	SIN3A	0.398358
TXNRD2	NCOR1	0.391484
TXNRD2	PSMC3	0.398358
TXNRD2	NCOA2	0.594442
TXNRD2	BCAS2	0.561127
TXNRD2	GTF2H1	0.398358
TXNRD2	NCOA6	0.458237
TXNRD2	TADA3	0.594442
TXNRD2	UBC	0.598835
AMH	ZMAT2	0.594442
AMH	PCSK5	0.830932
AMH	AMHR2	0.85922
AMH	COPS5	0.598835
AMH	EGFR	0.85922
AMH	ARL8B	0.594442
AMH	ETV5	0.594442
RASGEF1C	TNK2	0.63215
RASGEF1C	TERF2	0.598835
RASGEF1C	TERF1	0.598835
RASGEF1C	POT1	0.598835
INPP5E	UBC	0.598835
MED21	ESR1	0.561127
MED21	BLOC1S6	0.392016
MED21	MED4	0.436465
MED21	MED16	0.654948
MED21	VAV2	0.492989
MED21	MED6	0.47326
MED21	PCBD2	0.594442
MED21	MED29	0.297866
MED21	SMARCB1	0.598835
MED21	TARBP2	0.594442
MED21	GTF2H4	0.501461
MED21	MED22	0.654948
MED21	GTF2B	0.598835
MED21	THRB	0.538056
MED21	MED18	0.297866
MED21	TP53	0.561127
MED21	MED19	0.410771
MED21	MED13	0.654948
MED21	CREBBP	0.598835
MED21	MED11	0.654948
MED21	MAGEB4	0.392016
MED21	ESR2	0.561127
MED21	BTF3	0.85922
MED21	MED8	0.654948
MED21	MED12	0.436465
MED21	THRA	0.333363
MED21	MED24	0.654948
MED21	BRCA1	0.491712
MED21	TCEB3	0.85922
MED21	ZC3H13	0.598835
MED21	MED10	0.410771
MED21	TCERG1	0.598835
MED21	PPARGC1A	0.598835
MED21	CDK7	0.598835
MED21	ZSCAN1	0.594442
MED21	SKP1	0.368134
MED21	POLR2A	0.239175
MED21	HNF4A	0.561127
MED21	MED17	0.654948
MED21	SREBF1	0.598835
MED21	GTF2F1	0.358614
MED21	SSC5D	0.443583
MED21	VDR	0.598835
MED21	TRIM27	0.594442
MED21	MED14	0.47326
MED21	UBC	0.0850096
MED21	ZNF655	0.443583
MED21	KAT2B	0.598835
MED21	GTF2E1	0.501461
MED21	MED7	0.598835
MED21	MED30	0.391484
MED21	CDK8	0.089184
MED21	MED1	0.312498
MED21	TFG	0.85922
MED21	MED26	0.410771
MED21	MED28	0.221361
MED21	FBXW7	0.598835
MED21	MED9	0.410771
MED21	HTT	0.492989
GAS2L1	SH3KBP1	0.598835
GAS2L1	POT1	0.594442
CHPF2	FBXO6	0.598835
PER3	PER1	0.585069
PER3	CRY2	0.85922
PER3	CHEK2	0.598835
PER3	LOC400927-CSNK1E	0.460565
PER3	PER2	0.585069
PER3	CSNK1D	0.85922
PER3	CLOCK	0.85922
PER3	CRY1	0.85922
PER3	ARNTL	0.85922
PER3	ATM	0.598835
PER3	SP1	0.830932
TMEM87A	MDM2	0.598835
TMEM87A	UBC	0.120851
CHIC1	UBC	0.120851
PMAIP1	PPBP	0.565996
PMAIP1	UCHL1	0.598835
PMAIP1	HUWE1	0.598835
PMAIP1	BCL2A1	0.672582
PMAIP1	BCL2	0.233045
PMAIP1	ZBTB16	0.452941
PMAIP1	GSK3B	0.594442
PMAIP1	UBC	0.0739219
PMAIP1	BCL2L2	0.411862
